DRS,GVE,Região de Saúde, município,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,TOTAL
1,VIII,35011,3518305,0,0,0,0,0,1,22,42,50,54,61,63,63,63,63,63,63,63,63
17,XXXIII,35172,3518404,26,69,132,214,358,670,949,1259,1676,2022,2225,2327,2416,2483,2552,2603,2641,2667,2667
16,XXXI,35161,3518503,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
13,XXIV,35131,3518602,0,0,0,0,0,0,1,1,1,1,2,5,6,11,17,21,21,21,21
4,XXV,35041,3518701,3,8,10,14,20,29,36,39,46,49,54,60,63,72,82,83,95,97,97
1,VIII,35011,3518800,13,27,49,63,77,97,117,135,148,164,179,190,199,204,209,217,227,231,231
13,XXIV,35132,3518859,0,0,0,0,0,2,2,2,3,3,3,4,4,4,5,7,7,7,7
2,XI,35021,3518909,0,0,1,1,2,2,4,5,5,5,5,5,5,5,5,5,6,6,6
9,XIX,35095,3519006,0,1,1,3,8,21,43,71,107,153,206,261,294,337,372,407,425,428,428
7,XVII,35072,3519055,0,0,0,0,0,1,1,2,2,3,6,8,10,10,10,10,11,12,12
7,XVII,35072,3519071,9,24,37,56,75,97,135,166,213,265,307,339,380,414,429,445,453,466,466
6,XV,35062,3519105,0,0,0,0,3,5,5,5,6,6,6,6,6,7,7,8,9,9,9
9,XIX,35095,3519204,10,25,43,81,109,134,158,161,165,173,178,184,191,197,207,207,207,207,207
6,XVI,35061,3519253,0,0,0,0,1,2,2,3,3,3,4,4,4,4,4,7,7,7,7
3,XII,35034,3519303,1,1,3,3,5,6,8,8,9,9,13,13,14,14,15,15,15,17,17
15,XXIX,35155,3519402,8,29,66,119,164,215,287,330,363,392,424,442,470,491,502,526,535,543,543
9,XIII,35094,3519501,0,1,1,1,1,1,2,3,3,3,3,4,6,7,7,8,8,8,8
3,XII,35032,3519600,1,1,1,1,1,6,8,10,12,17,18,20,21,24,26,29,29,29,29
16,XXXI,35163,3519709,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2
15,XXIX,35155,3519808,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,XXI,35113,3519907,0,0,0,2,5,7,8,16,31,42,58,78,91,102,113,128,148,155,155
6,XV,35064,3520004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,XVIII,35083,3520103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,XXVII,35171,3520202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,XXIII,35121,3520301,0,0,0,0,0,3,3,4,5,7,8,14,16,18,21,23,24,25,25
17,XXVIII,35173,3520400,0,1,4,6,13,17,32,40,53,58,78,88,97,99,99,99,99,99,99
12,XXIII,35121,3520426,0,0,1,1,2,3,4,4,4,4,4,4,4,4,4,4,5,6,6
2,XI,35022,3520442,0,0,1,2,3,3,3,6,6,9,10,12,14,17,21,22,22,22,22
7,XVII,35072,3520509,0,1,2,5,7,12,15,21,30,43,49,55,63,72,81,90,97,102,102
11,XXI,35112,3520608,0,0,0,0,7,10,10,11,12,14,15,15,15,17,20,20,20,22,22
15,XXX,35154,3520707,0,0,0,0,1,2,3,5,6,8,11,12,17,24,32,46,52,52,52
9,XIX,35091,3520806,4,8,21,47,71,121,165,186,208,232,254,271,297,312,325,340,347,349,349
9,XIII,35094,3520905,0,0,0,1,1,2,2,2,2,2,3,4,5,5,5,5,6,6,6
16,XXXI,35163,3521002,18,67,157,311,463,655,846,995,1097,1188,1233,1268,1279,1293,1305,1312,1315,1318,1318
10,XX,35104,3521101,0,1,3,4,5,13,20,23,23,26,32,38,46,54,58,62,63,63,63
15,XXIX,35155,3521150,0,1,1,1,6,13,20,25,32,34,37,42,44,47,49,50,51,51,51
12,XXIII,35121,3521200,0,0,0,0,0,0,0,0,2,2,2,9,19,20,26,37,39,41,41
8,XVIII,35082,3521309,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
10,XX,35102,3521408,0,1,1,1,1,2,2,2,2,5,5,5,8,11,16,25,26,28,28
15,XXIX,35151,3521507,0,0,2,3,6,9,9,15,22,25,28,29,31,34,37,44,44,46,46
11,XXII,35111,3521606,0,0,0,2,2,5,5,9,13,13,14,15,17,17,17,17,17,18,18
16,XXXII,35162,3521705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,XVI,35061,3521804,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,15,16,16
15,XXIX,35151,3521903,9,14,33,42,63,79,91,98,113,120,126,128,131,132,134,134,136,136,136
6,XV,35064,3522000,0,0,0,0,0,0,0,0,0,2,2,3,3,3,5,5,5,5,5
4,XXV,35041,3522109,0,1,1,4,8,10,13,17,18,20,21,26,27,32,34,37,45,54,54
16,XXXII,35162,3522158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,X,35013,3522208,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
16,XXXI,35161,3522307,0,0,0,0,2,3,5,7,7,11,14,15,16,16,17,17,17,20,20
16,XXXII,35162,3522406,0,0,1,1,1,1,2,4,5,10,15,16,21,32,38,47,49,49,49
1,X,35014,3522505,0,0,0,0,0,0,0,0,1,2,4,4,4,4,6,6,6,6,6
14,XXVI,35141,3522604,0,0,0,1,1,1,2,2,3,4,4,10,14,15,16,16,16,16,16
16,XXXII,35162,3522653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,XII,35032,3522703,21,66,122,214,336,448,586,695,837,982,1075,1152,1245,1337,1409,1483,1515,1543,1543
6,XVI,35061,3522802,1,1,1,1,1,1,1,2,2,2,3,4,4,8,8,9,10,10,10
6,XV,35064,3522901,0,0,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6
2,XI,35022,3523008,0,0,0,0,0,1,2,2,3,4,6,6,10,11,12,13,13,13,13
1,VIII,35011,3523107,0,0,1,1,3,5,7,8,12,13,14,16,16,16,16,17,18,19,19
16,XXXII,35162,3523206,0,0,0,0,0,0,0,5,11,14,14,14,16,19,21,24,26,26,26
12,XXIII,35121,3523305,2,8,30,46,67,99,124,137,162,173,184,192,196,204,213,214,214,214,214
7,XVII,35072,3523404,1,1,1,1,1,1,2,2,3,3,3,3,3,4,5,5,5,5,5
6,XVI,35063,3523503,0,0,0,0,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
10,XX,35104,3523602,0,0,1,1,1,2,3,4,6,6,9,10,10,10,16,17,17,18,18
