DRS,GVE,Região de Saúde, município,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,TOTAL
6,XVI,35063,3550100,0,1,1,2,6,7,9,11,11,12,15,15,15,16,18,18,20,20,20
16,XXXI,35161,3550209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,I,35016,3550308,55,126,179,242,338,443,578,697,805,928,1031,1090,1184,1246,1323,1381,1446,1476,1476
10,XX,35103,3550407,9,26,40,73,105,153,247,303,392,490,578,633,703,736,778,808,814,816,816
9,XIII,35094,3550506,0,0,0,0,0,0,0,1,1,3,8,13,19,23,26,27,28,30,30
16,XXXI,35163,3550605,0,0,0,0,1,1,1,1,1,1,2,2,2,2,4,4,6,10,10
17,XXVIII,35173,3550704,6,7,10,17,23,31,45,51,54,68,75,84,87,95,100,114,118,131,131
14,XXVI,35143,3550803,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,7,7,7,7
13,XXIV,35132,3550902,15,35,51,78,114,127,128,128,132,136,136,137,138,139,141,145,145,145,145
4,XXV,35041,3551009,0,0,6,6,12,18,20,21,21,23,25,26,26,26,26,27,28,28,28
16,XXXI,35161,3551108,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
6,XVI,35061,3551207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,XXIX,35157,3551306,2,2,3,9,20,26,36,39,48,56,65,67,70,73,73,74,74,75,75
13,XXIV,35132,3551405,0,0,1,1,1,2,2,3,5,8,11,13,15,15,15,15,15,16,16
13,XXIV,35132,3551504,0,0,1,2,3,5,10,12,14,16,17,18,23,26,29,32,35,35,35
7,XVII,35074,3551603,1,1,1,2,2,2,2,3,3,3,3,3,5,5,5,5,5,5,5
13,XXIV,35131,3551702,80,175,299,515,759,1012,1236,1429,1609,1753,1844,1894,1952,2006,2059,2110,2159,2183,2183
12,XXIII,35121,3551801,15,70,209,260,290,304,318,322,324,329,330,330,330,330,330,330,330,330,330
5,XIV,35051,3551900,0,0,0,0,5,6,6,7,9,11,14,17,19,19,19,19,19,19,19
17,XXXIII,35172,3552007,0,0,0,3,4,5,5,5,5,6,7,7,7,7,7,7,7,7,7
7,XVII,35071,3552106,0,0,0,0,1,1,1,1,1,2,4,6,7,7,8,8,9,9,9
16,XXXI,35163,3552205,4,14,40,91,143,211,345,467,586,711,860,949,1062,1168,1265,1379,1449,1509,1509
2,XI,35022,3552304,0,0,0,1,6,9,14,14,19,22,30,37,42,48,52,63,71,76,76
7,XVII,35072,3552403,12,25,49,69,95,122,151,182,237,286,311,330,370,396,429,454,478,500,500
1,VIII,35011,3552502,3,4,5,7,7,7,8,9,12,17,17,19,19,20,20,20,20,20,20
2,XI,35022,3552551,0,0,0,0,0,0,2,2,4,6,6,7,8,9,10,10,11,11,11
15,XXIX,35151,3552601,1,2,7,17,30,52,66,74,92,101,117,126,140,155,166,173,188,195,195
3,XII,35032,3552700,0,0,0,0,0,0,4,4,4,4,9,9,10,10,10,10,10,10,10
1,X,35013,3552809,0,0,0,1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4
11,XXI,35112,3552908,0,0,0,0,0,0,0,1,2,3,4,4,6,8,12,12,12,14,14
6,XVI,35061,3553005,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,5,5
5,XIV,35052,3553104,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5,XIV,35052,3553203,0,0,0,0,1,1,2,4,8,10,13,19,23,28,29,30,30,33,33
14,XXVI,35142,3553302,0,1,5,15,25,40,57,69,93,129,158,194,243,288,339,387,433,460,460
15,XXIX,35155,3553401,2,4,9,14,28,46,78,105,142,172,203,219,245,288,307,338,363,393,393
16,XXXI,35163,3553500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,XXVI,35143,3553609,0,0,0,0,7,23,34,47,64,88,101,116,140,158,178,215,249,259,259
5,XIV,35052,3553658,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3
3,XII,35033,3553708,3,13,29,60,93,120,153,170,191,199,201,204,214,226,234,244,256,267,267
6,XVI,35061,3553807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,XXXII,35162,3553856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,XXI,35112,3553906,0,0,0,0,3,21,34,58,91,114,138,157,181,208,221,233,247,252,252
9,XIII,35092,3553955,0,0,0,1,2,7,11,15,22,32,37,49,65,83,95,103,106,110,110
16,XXXI,35161,3554003,0,0,0,1,2,2,3,3,6,8,10,10,15,21,36,59,75,107,107
17,XXXIII,35174,3554102,7,13,34,68,107,174,299,406,529,692,821,926,1049,1151,1222,1293,1339,1367,1367
6,XVI,35061,3554201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,XXII,35115,3554300,2,5,10,25,43,76,99,133,164,216,247,263,281,299,310,319,327,332,332
5,XIV,35052,3554409,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
16,XXXI,35163,3554508,0,0,0,0,0,0,0,0,1,5,6,6,6,6,6,6,6,6,6
9,XIII,35094,3554607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,XVI,35063,3554656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,XV,35064,3554706,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
3,XII,35031,3554755,5,7,12,18,32,45,66,77,80,81,82,83,83,83,83,83,83,83,83
17,XXXIII,35174,3554805,1,1,1,1,2,2,4,10,19,28,43,50,54,56,66,71,75,77,77
15,XXX,35152,3554904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,XVII,35071,3554953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,XIX,35095,3555000,5,16,29,45,62,101,149,188,232,289,327,373,409,434,457,491,519,540,540
11,XXII,35111,3555109,1,3,17,40,72,112,166,201,253,311,366,421,500,574,621,667,685,697,697
2,XI,35023,3555208,0,0,1,1,2,2,2,2,2,3,3,4,9,15,23,35,42,62,62
15,XXX,35154,3555307,1,2,6,14,18,29,33,35,35,36,36,36,37,37,37,37,37,37,37
15,XXIX,35156,3555356,0,0,1,5,7,9,13,15,27,34,43,53,56,59,66,82,84,84,84
17,XXVIII,35173,3555406,1,3,4,6,7,11,19,23,34,44,59,60,63,76,84,92,102,106,106
9,XIX,35093,3555505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,XXIX,35155,3555604,0,1,3,3,3,4,8,10,10,10,10,10,10,10,10,11,11,11,11
15,XXIX,35156,3555703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,XXX,35153,3555802,24,50,76,117,170,244,312,355,423,470,496,534,549,565,568,568,568,568,568
6,XV,35065,3555901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,XXIX,35151,3556008,1,8,23,39,50,71,80,83,93,98,100,101,102,106,107,107,107,107,107
15,XXIX,35157,3556107,2,8,23,43,75,132,157,172,175,177,181,185,187,190,194,201,206,208,208
7,XVII,35072,3556206,0,2,2,4,5,6,9,11,13,18,24,29,30,30,31,35,35,35,35
2,XI,35021,3556305,11,23,59,159,270,427,629,763,850,911,964,1026,1064,1096,1121,1150,1161,1171,1171
7,XVII,35071,3556354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,XXVI,35142,3556404,1,2,4,5,5,6,12,15,22,31,33,38,54,61,80,103,118,131,131
1,X,35013,3556453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,XVII,35073,3556503,0,0,0,0,2,2,5,5,6,7,10,10,10,10,11,11,11,11,11
9,XIX,35093,3556602,0,0,0,0,0,3,5,12,21,32,45,49,60,83,102,117,131,131,131
7,XVII,35072,3556701,1,1,2,4,5,5,6,10,10,11,15,16,16,16,17,18,18,18,18
5,XIV,35052,3556800,0,0,0,0,0,1,6,8,11,13,15,16,17,17,17,18,19,19,19
5,XIV,35052,3556909,0,0,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4
15,XXX,35153,3556958,3,8,12,17,30,65,96,103,110,117,125,125,127,129,129,129,129,129,129
16,XXXI,35163,3557006,0,0,2,6,7,9,17,22,28,40,56,67,91,96,103,113,121,128,128
15,XXIX,35157,3557105,341,821,1555,2479,3384,4571,5693,6463,7151,7667,8074,8252,8399,8498,8567,8638,8698,8737,8737
15,XXIX,35156,3557154,0,0,0,0,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3
9,XIII,35094,3557204,0,0,0,0,0,0,0,1,1,1,1,1,4,5,7,7,8,8,8
14,XXVI,35141,3557303,0,0,0,0,0,1,1,1,2,2,2,2,3,3,5,5,5,5,5
